,Task,Train,Congruity,Test,Ratio,Accuracy,std
259,size-count,CH-controlled,Congruent,CH-controlled,50,0.75,0.12460463791317596
260,size-count,CH-controlled,Congruent,CH-controlled,56,0.88,0.07677718959499143
261,size-count,CH-controlled,Congruent,CH-controlled,63,0.8200000000000001,0.1116856490804719
262,size-count,CH-controlled,Congruent,CH-controlled,71,0.845,0.06863327411532597
263,size-count,CH-controlled,Congruent,CH-controlled,75,0.9249999999999999,0.07521897856819183
264,size-count,CH-controlled,Congruent,CH-controlled,86,0.8225,0.0638151112280832
265,size-count,CH-controlled,Congruent,TS-controlled,50,0.7475,0.12190915513308735
266,size-count,CH-controlled,Congruent,TS-controlled,56,0.7225,0.12082501483768299
267,size-count,CH-controlled,Congruent,TS-controlled,63,0.795,0.08413648060396307
268,size-count,CH-controlled,Congruent,TS-controlled,71,0.685,0.09746794344808964
269,size-count,CH-controlled,Congruent,TS-controlled,75,0.635,0.11250730970404592
270,size-count,CH-controlled,Congruent,TS-controlled,86,0.5575,0.07826237921249264
271,size-count,CH-controlled,Incongruent,AD-controlled,50,0.4125,0.1805510570739654
272,size-count,CH-controlled,Incongruent,AD-controlled,56,0.76,0.06805570473787206
273,size-count,CH-controlled,Incongruent,AD-controlled,63,0.8025,0.054952132279878475
274,size-count,CH-controlled,Incongruent,AD-controlled,71,0.7,0.06882472016116853
275,size-count,CH-controlled,Incongruent,AD-controlled,75,0.775,0.07863975156570494
276,size-count,CH-controlled,Incongruent,AD-controlled,86,0.81,0.05982430416161187
277,size-count,CH-controlled,Incongruent,CH-controlled,50,0.5525,0.07340407273943893
278,size-count,CH-controlled,Incongruent,CH-controlled,56,0.83,0.09787209698591856
279,size-count,CH-controlled,Incongruent,CH-controlled,63,0.74,0.10833670709996293
280,size-count,CH-controlled,Incongruent,CH-controlled,71,0.6075,0.07826237921249264
281,size-count,CH-controlled,Incongruent,CH-controlled,75,0.77,0.10930401832070323
282,size-count,CH-controlled,Incongruent,CH-controlled,86,0.68,0.10437785609076891
283,size-count,CH-controlled,Incongruent,TS-controlled,50,0.715,0.1170919566656458
284,size-count,CH-controlled,Incongruent,TS-controlled,56,0.495,0.12659508596100277
285,size-count,CH-controlled,Incongruent,TS-controlled,63,0.49,0.08045920836378095
286,size-count,CH-controlled,Incongruent,TS-controlled,71,0.485,0.07451598203705946
287,size-count,CH-controlled,Incongruent,TS-controlled,75,0.51,0.06198471798078857
288,size-count,CH-controlled,Incongruent,TS-controlled,86,0.41250000000000003,0.0666392487478979
289,size-count,TS-controlled,Congruent,AD-controlled,50,0.8236842105263158,0.14275894703682965
290,size-count,TS-controlled,Congruent,AD-controlled,56,0.9657894736842105,0.08173913719698539
291,size-count,TS-controlled,Congruent,AD-controlled,63,0.9710526315789474,0.08549819600709617
292,size-count,TS-controlled,Congruent,AD-controlled,71,0.8552631578947368,0.0743391941675028
293,size-count,TS-controlled,Congruent,AD-controlled,75,0.9236842105263158,0.09911892555667041
294,size-count,TS-controlled,Congruent,AD-controlled,86,0.8289473684210527,0.0787326514818136
295,size-count,TS-controlled,Congruent,CH-controlled,50,0.8631578947368421,0.1690184944377044
296,size-count,TS-controlled,Congruent,CH-controlled,56,0.9315789473684211,0.07112298877412099
297,size-count,TS-controlled,Congruent,CH-controlled,63,0.7631578947368421,0.05735393346764043
298,size-count,TS-controlled,Congruent,CH-controlled,71,0.7921052631578948,0.09318911162960933
299,size-count,TS-controlled,Congruent,CH-controlled,75,0.9052631578947369,0.07798635358208023
300,size-count,TS-controlled,Congruent,CH-controlled,86,0.7842105263157895,0.1054785807363374
301,size-count,TS-controlled,Congruent,TS-controlled,50,0.9210526315789473,0.08549819600709617
302,size-count,TS-controlled,Congruent,TS-controlled,56,0.9657894736842105,0.14912022701586516
303,size-count,TS-controlled,Congruent,TS-controlled,63,0.9578947368421052,0.1483830982950859
304,size-count,TS-controlled,Congruent,TS-controlled,71,0.868421052631579,0.13039526056037537
305,size-count,TS-controlled,Congruent,TS-controlled,75,0.868421052631579,0.13764944032233706
306,size-count,TS-controlled,Congruent,TS-controlled,86,0.8947368421052632,0.14131794024085592
307,size-count,TS-controlled,Incongruent,AD-controlled,50,0.7473684210526316,0.1918286881934897
308,size-count,TS-controlled,Incongruent,AD-controlled,56,0.95,0.08498365855987974
309,size-count,TS-controlled,Incongruent,AD-controlled,63,0.8973684210526316,0.07541309238404148
310,size-count,TS-controlled,Incongruent,AD-controlled,71,0.9026315789473685,0.08245147429873577
311,size-count,TS-controlled,Incongruent,AD-controlled,75,0.8526315789473684,0.09785715810206663
312,size-count,TS-controlled,Incongruent,AD-controlled,86,0.8421052631578947,0.07502436251485403
313,size-count,TS-controlled,Incongruent,CH-controlled,50,0.48947368421052634,0.0809302638222512
314,size-count,TS-controlled,Incongruent,CH-controlled,56,0.531578947368421,0.11926921731457119
315,size-count,TS-controlled,Incongruent,CH-controlled,63,0.4710526315789474,0.08549819600709618
316,size-count,TS-controlled,Incongruent,CH-controlled,71,0.4342105263157895,0.07826704922348898
317,size-count,TS-controlled,Incongruent,CH-controlled,75,0.5157894736842106,0.06466286839993725
318,size-count,TS-controlled,Incongruent,CH-controlled,86,0.5210526315789474,0.09763280054720369
319,size-count,TS-controlled,Incongruent,TS-controlled,50,0.6947368421052632,0.1906820629288634
320,size-count,TS-controlled,Incongruent,TS-controlled,56,0.9447368421052631,0.14990250242713807
321,size-count,TS-controlled,Incongruent,TS-controlled,63,0.8342105263157895,0.12915605502533592
322,size-count,TS-controlled,Incongruent,TS-controlled,71,0.8578947368421053,0.13256356745050535
323,size-count,TS-controlled,Incongruent,TS-controlled,75,0.8763157894736842,0.13577802662662278
324,size-count,TS-controlled,Incongruent,TS-controlled,86,0.7210526315789474,0.10712893253988162
