,UNIQUE_SUBJECT_UID,Task,Train,Test,Generations,Congruity,Ratio,Validation Accuracy
82,size_equate_1_123,size,AD-controlled,TS-controlled,7,Congruent,63,1.0
83,size_equate_1_124,size,AD-controlled,TS-controlled,7,Congruent,63,0.9
84,size_equate_1_125,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
85,size_equate_1_126,size,AD-controlled,TS-controlled,7,Congruent,63,1.0
86,size_equate_1_127,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
88,size_equate_1_129,size,AD-controlled,TS-controlled,7,Congruent,63,1.0
89,size_equate_1_130,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
90,size_equate_1_131,size,AD-controlled,TS-controlled,7,Congruent,63,1.0
91,size_equate_1_132,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
92,size_equate_1_133,size,AD-controlled,TS-controlled,7,Congruent,63,0.7
93,size_equate_1_134,size,AD-controlled,TS-controlled,7,Congruent,63,0.9
94,size_equate_1_135,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
95,size_equate_1_136,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
96,size_equate_1_137,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
97,size_equate_1_138,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
98,size_equate_1_139,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
99,size_equate_1_140,size,AD-controlled,TS-controlled,7,Congruent,63,1.0
100,size_equate_1_121,size,AD-controlled,TS-controlled,7,Incongruent,63,0.65
101,size_equate_1_122,size,AD-controlled,TS-controlled,7,Incongruent,63,0.6
102,size_equate_1_123,size,AD-controlled,TS-controlled,7,Incongruent,63,0.85
103,size_equate_1_124,size,AD-controlled,TS-controlled,7,Incongruent,63,0.75
104,size_equate_1_125,size,AD-controlled,TS-controlled,7,Incongruent,63,0.75
105,size_equate_1_126,size,AD-controlled,TS-controlled,7,Incongruent,63,0.8
106,size_equate_1_127,size,AD-controlled,TS-controlled,7,Incongruent,63,0.8
108,size_equate_1_129,size,AD-controlled,TS-controlled,7,Incongruent,63,0.75
109,size_equate_1_130,size,AD-controlled,TS-controlled,7,Incongruent,63,0.75
110,size_equate_1_131,size,AD-controlled,TS-controlled,7,Incongruent,63,0.8
111,size_equate_1_132,size,AD-controlled,TS-controlled,7,Incongruent,63,0.8
112,size_equate_1_133,size,AD-controlled,TS-controlled,7,Incongruent,63,0.65
113,size_equate_1_134,size,AD-controlled,TS-controlled,7,Incongruent,63,0.8
114,size_equate_1_135,size,AD-controlled,TS-controlled,7,Incongruent,63,0.8
115,size_equate_1_136,size,AD-controlled,TS-controlled,7,Incongruent,63,0.75
116,size_equate_1_137,size,AD-controlled,TS-controlled,7,Incongruent,63,0.75
